TIC_ID,Period
50365310,2.1713484
88863718,1.9316462
124709665,1.8675574
106997505,2.74323
238597883,3.5730141
169904935,4.5505945
156115721,2.5047918
65212867,6.9989206
440801822,2.0483755
107782586,1.9600277
231663901,1.4303699
139853601,0.6808702
114018671,2.4705036
427508467,0.884182
97700520,5.4255548
96246348,1.4095184
155044736,1.3730466
175310067,12.6889415
182943944,1.10422
291555748,4.95912
341420329,5.2341008
149603524,4.4119372
140706664,3.28892
143994283,1.90879
47384844,3.09574
238374636,1.3214483
141482386,18.0157
297967252,9.6837908
388624270,14.2628757
20318757,3.2834565
20318757,11.02875
20318757,5.0113292
447283466,1.01606
374908020,36.22214
336732616,3.547854
464296022,12.1246519
304021498,5.652623
146589986,5.6643704
149601557,29.0161646
400595342,3.6404389
361413119,6.0744477
146172354,3.7795212
363260203,1.2025238
90544017,3.2235985
461867584,4.420125
231670397,4.0872956
310483807,2.55555
385624852,8.30792
360286627,0.758082
90448944,1.4415577
463402815,1.0085089
54044474,3.7039994
309787037,1.3042553
370745311,0.62627
384549882,0.30412
16288184,2.1805333
144065872,2.1846669
66818296,3.7354838
259863352,21.701669
317060587,9.139804
112395568,5.742625
366989877,15.5077855
320004517,17.4713078
421894914,5.3079507
323132914,51.1701501
31553893,11.1296441
380783252,9.4496506
38846515,2.8493827
101230735,2.0685633
253990973,0.540933
299799658,4.1150576
406976746,10.0665238
79748331,6.4438657
79748331,12.2265595
7088246,2.1605155
201604954,4.606184
201642601,3.1316735
6663331,3.180362
31858843,2.9776446
92352620,3.9502008
31858844,2.9776152
120247528,3.5544026
140830390,12.8379689
158297421,3.9228016
327301957,13.9428705
351601843,0.6047392
360742636,2.5495611
369960846,1.6062693
370133522,0.5182425
379240073,3.1644075
289793076,3.0440495
161032923,3.9652485
253728991,2.9840866
261108236,16.3469053
322270620,12.9802953
380589029,1.3484961
381979901,3.2541181
468148930,3.7178828
426077080,9.30992
343648136,1.15395
