TIC_ID,Period,Probability,Distance,Verdict
201604954,4.610337873346693,0.9684,1.9067,❌ ANOMALY (Noise/Artifact)
6663331,3.1813180206412826,0.9104,1.1783,❌ ANOMALY (Noise/Artifact)
92352620,3.9498049882965933,0.9044,1.1353,❌ ANOMALY (Noise/Artifact)
31858843,2.977942961182365,0.9621,1.8059,❌ ANOMALY (Noise/Artifact)
120247528,3.5547587525651303,0.8153,0.6203,✅ PLANET CANDIDATE
140830390,12.777509527424849,-,-,❌ ECLIPSING BINARY (Odd/Even Ratio: 72.2%)
31858844,2.9779135582364726,0.9506,1.637,❌ ANOMALY (Noise/Artifact)
327301957,13.913531794539077,0.8811,1.3898,❌ ANOMALY (Noise/Artifact)
158297421,3.922408533707415,-,-,❌ ECLIPSING BINARY (Odd/Even Ratio: 77.3%)
369960846,1.6061083511723446,0.9573,1.5901,❌ ANOMALY (Noise/Artifact)
351601843,0.6049209853306614,0.9863,2.3713,❌ ANOMALY (Noise/Artifact)
360742636,2.549305632955912,0.9916,2.9284,❌ ANOMALY (Noise/Artifact)
370133522,0.5181905718937877,0.9132,1.1112,❌ ANOMALY (Noise/Artifact)
161032923,3.965645819488978,0.9912,2.8055,❌ ANOMALY (Noise/Artifact)
379240073,3.1640904251002,0.988,2.5692,❌ ANOMALY (Noise/Artifact)
289793076,3.04435451497996,0.9823,2.2288,❌ ANOMALY (Noise/Artifact)
261108236,16.338715467685372,-,-,❌ ECLIPSING BINARY (Odd/Even Ratio: 79.7%)
322270620,12.973792146042085,0.8989,1.2642,❌ ANOMALY (Noise/Artifact)
253728991,2.9825915666332663,0.9567,1.7025,❌ ANOMALY (Noise/Artifact)
380589029,1.3486312198496995,0.8455,0.7954,✅ PLANET CANDIDATE
426077080,9.775416,-,-,❌ ECLIPSING BINARY (Odd/Even Ratio: 72.6%)
381979901,3.2531399081863728,0.9762,2.0013,❌ ANOMALY (Noise/Artifact)
468148930,3.7175102666533064,0.8159,0.706,✅ PLANET CANDIDATE
343648136,1.1041150851703407,0.9362,1.3011,❌ ANOMALY (Noise/Artifact)
38846515,2.849668209288577,0.9725,1.956,❌ ANOMALY (Noise/Artifact)
150428135,37.426,0.99,0.21,✅ PLANET CANDIDATE
